A,B,C,D,Date,E,F,G,GeoID,H,I,J,K,L,M,N,O,P,R,S,SUMLEV,T,U,date,state,county
47683,1269,797.0,614149.0,Jul_29_2020,46750.0,1458,3.15,29,0.48,9229,24.0,25935,119.25,73,6.1,243,23.68,0.78,0.02,states,782.96,20.84,2020-07-29,Missouri,
3440,20,45.0,220222.0,Jul_29_2020,3442.0,92,2.75,02,0.0,823,31.45,2355,217.05,3,17.65,8,66.67,0.47,0.0,states,465.8,2.71,2020-07-29,Alaska,
18800,1007,74.0,183665.0,Jul_29_2020,18800.0,75,0.4,44,0.2,738,4.09,2036,12.15,10,1.0,61,6.45,1.78,0.1,states,1779.27,95.3,2020-07-29,Rhode Island,
385,8,,8419.0,Jul_29_2020,385.0,10,2.67,78,14.29,49,14.58,301,358.33,1,14.29,2,33.33,,,states,,,2020-07-29,Virgin Islands,
83782,1538,1598.0,584493.0,Jul_29_2020,83782.0,1416,1.72,01,3.15,11969,16.67,46607,125.37,174,12.76,609,65.55,1.72,0.03,states,1722.25,31.62,2020-07-29,Alabama,
55804,1563,1211.0,387500.0,Jul_29_2020,55804.0,1505,2.77,28,1.3,8733,18.55,29236,110.04,140,9.84,504,47.59,1.87,0.05,states,1867.13,52.3,2020-07-29,Mississippi,
5822,375,32.0,114505.0,Jul_2_2020,5802.0,20,0.34,33,0.54,184,3.26,1073,22.59,18,5.04,119,46.48,0.43,0.03,states,433.31,27.91,2020-07-02,New Hampshire,
3328,105,30.0,97489.0,Jul_2_2020,3328.0,34,1.03,23,0.0,258,8.4,951,40.01,2,1.94,11,11.7,0.25,0.01,states,249.7,7.88,2020-07-02,Maine,
10390,554,120.0,90673.0,Jul_2_2020,10390.0,25,0.24,11,0.18,231,2.27,1504,16.93,11,2.03,84,17.87,1.52,0.08,states,1517.9,80.94,2020-07-02,District of Columbia,
19871,525,662.0,264995.0,Jul_2_2020,19733.0,720,3.76,32,2.54,4960,33.26,11013,124.33,30,6.06,105,25.0,0.68,0.02,states,679.85,17.96,2020-07-02,Nevada,
11731,510,67.0,103187.0,Jul_2_2020,11731.0,221,1.92,10,0.2,751,6.84,2046,21.13,3,0.59,137,36.73,1.24,0.05,states,1235.5,53.71,2020-07-02,Delaware,
46646,4326,101.0,453468.0,Jul_2_2020,46646.0,74,0.16,09,0.05,652,1.42,3667,8.53,28,0.65,354,8.91,1.3,0.12,states,1302.41,120.79,2020-07-02,Connecticut,
69015,3212,441.0,484752.0,Jul_2_2020,68423.0,513,0.75,24,0.22,2618,3.94,14184,25.87,83,2.65,615,23.68,1.15,0.05,states,1149.59,53.5,2020-07-02,Maryland,
35921,1343,311.0,538529.0,Jul_2_2020,33435.0,663,1.88,53,0.22,3923,12.26,12313,52.16,42,3.23,204,17.91,0.49,0.02,states,492.45,18.41,2020-07-02,Washington,
19476,284,117.0,163352.0,Jul_2_2020,19310.0,151,0.78,31,0.71,1130,6.16,4865,33.3,18,6.77,97,51.87,1.02,0.01,states,1022.49,14.91,2020-07-02,Nebraska,
109338,8132,681.0,756920.0,Jul_2_2020,109338.0,195,0.18,25,0.63,1501,1.39,8175,8.08,170,2.14,1047,14.78,1.6,0.12,states,1600.8,119.06,2020-07-02,Massachusetts,
33335,1701,262.0,300226.0,Jul_2_2020,33029.0,323,0.98,08,0.24,1872,5.95,6561,24.51,32,1.92,227,15.4,0.6,0.03,states,602.68,30.75,2020-07-02,Colorado,
3053,93,23.0,175288.0,Jul_2_2020,3053.0,74,2.48,54,0.0,360,13.37,997,48.49,1,1.09,15,19.23,0.17,0.01,states,166.92,5.08,2020-07-02,West Virginia,
1083,22,14.0,94066.0,Jul_2_2020,1083.0,67,6.59,30,0.0,280,34.87,560,107.07,1,4.76,5,29.41,0.1,0.0,states,103.96,2.11,2020-07-02,Montana,
71853,6216,548.0,1013459.0,Jul_2_2020,71678.0,574,0.81,26,0.23,2694,3.9,13173,22.45,79,1.29,654,11.76,0.72,0.06,states,721.6,62.43,2020-07-02,Michigan,
32876,801,236.0,563946.0,Jul_2_2020,32809.0,569,1.76,55,0.88,3672,12.57,13927,73.5,26,3.35,191,31.31,0.57,0.01,states,568.95,13.86,2020-07-02,Wisconsin,
248198,6263,6812.0,4096171.0,Jul_2_2020,242547.0,8434,3.52,06,1.54,46785,23.23,130117,110.19,453,7.8,1903,43.65,0.63,0.02,states,633.99,16.0,2020-07-02,California,
1550,20,9.0,33693.0,Jul_2_2020,1550.0,36,2.38,56,0.0,224,16.89,638,69.96,0,0.0,3,17.65,0.27,0.0,states,266.4,3.44,2020-07-02,Wyoming,
22075,279,272.0,301912.0,Jul_2_2020,22075.0,878,4.14,05,0.72,4013,22.22,14257,182.36,39,16.25,143,105.15,0.74,0.01,states,738.13,9.33,2020-07-02,Arkansas,
37247,1495,274.0,593217.0,Jul_2_2020,37210.0,494,1.34,27,0.88,3089,9.04,11729,45.96,54,3.75,413,38.17,0.67,0.03,states,673.87,27.05,2020-07-02,Minnesota,
87495,1766,2938.0,473414.0,Jul_2_2020,87425.0,3343,3.97,04,2.32,24198,38.23,66245,311.74,271,18.13,823,87.27,1.26,0.03,states,1259.52,25.42,2020-07-02,Arizona,
1249,6,1.0,13653.0,Jul_2_2020,280.0,9,0.73,66,0.0,35,2.88,103,8.99,0,0.0,0,0.0,,,states,,,2020-07-02,Guam,
23085,1056,716.0,375035.0,Jul_2_2020,22283.0,490,2.17,29,0.67,3009,14.99,9263,67.02,50,4.97,259,32.5,0.38,0.02,states,379.06,17.34,2020-07-02,Missouri,
30,2,,8187.0,Jul_2_2020,30.0,0,0.0,69,0.0,0,0.0,7,30.43,0,0.0,0,0.0,,,states,,,2020-07-02,Northern Mariana Islands,
174212,15107,1027.0,1291557.0,Jul_2_2020,172356.0,430,0.25,34,0.19,2162,1.26,12667,7.84,235,1.58,3337,28.35,1.96,0.17,states,1961.44,170.09,2020-07-02,New Jersey,
7608,153,97.0,192686.0,Jul_2_2020,7608.0,71,0.94,72,0.0,731,10.63,3673,93.34,2,1.32,15,10.87,0.22,0.0,states,224.63,4.52,2020-07-02,Puerto Rico,
169098,3616,,1863077.0,Jul_2_2020,169106.0,10109,6.36,12,1.89,55088,48.32,111659,194.4,290,8.72,1087,42.98,0.82,0.02,states,820.94,17.55,2020-07-02,Florida,
63655,1815,888.0,610521.0,Jul_2_2020,63735.0,530,0.84,51,1.68,3779,6.31,17453,37.78,141,8.42,409,29.09,0.76,0.02,states,756.56,21.57,2020-07-02,Virginia,
39701,784,1125.0,361700.0,Jul_2_2020,39701.0,1782,4.7,45,2.35,10679,36.8,27286,219.78,91,13.13,283,56.49,0.8,0.02,states,801.08,15.82,2020-07-02,South Carolina,
28770,1092,863.0,270269.0,Jul_2_2020,28770.0,870,3.12,28,0.92,4254,17.35,12750,79.59,76,7.48,325,42.37,0.96,0.04,states,962.61,36.54,2020-07-02,Mississippi,
47553,2662,644.0,450448.0,Jul_2_2020,46387.0,437,0.93,18,0.45,2774,6.19,11424,31.62,76,2.94,465,21.17,0.72,0.04,states,716.44,40.11,2020-07-02,Indiana,
6893,97,64.0,75048.0,Jul_2_2020,6893.0,67,0.98,46,4.3,414,6.39,1827,36.06,10,11.49,35,56.45,0.8,0.01,states,797.53,11.22,2020-07-02,South Dakota,
92703,6758,631.0,702199.0,Jul_2_2020,88074.0,839,0.91,42,0.81,4473,5.07,15388,19.9,156,2.36,1088,19.19,0.72,0.05,states,724.74,52.83,2020-07-02,Pennsylvania,
30259,719,145.0,287329.0,Jul_2_2020,30209.0,641,2.16,19,0.28,2875,10.5,10242,51.17,17,2.42,155,27.48,0.97,0.02,states,965.97,22.95,2020-07-02,Iowa,
9344,212,173.0,241760.0,Jul_2_2020,9294.0,325,3.6,41,0.47,1739,22.87,5006,115.4,13,6.53,55,35.03,0.23,0.01,states,228.91,5.19,2020-07-02,Oregon,
46176,612,949.0,791564.0,Jul_2_2020,46890.0,1816,4.09,47,1.66,8481,22.5,21678,88.49,54,9.68,234,61.9,0.69,0.01,states,694.26,9.2,2020-07-02,Tennessee,
146407,7197,1651.0,1521435.0,Jul_2_2020,145935.0,866,0.6,17,0.52,5472,3.88,23163,18.79,173,2.46,1630,29.28,1.14,0.06,states,1141.89,56.13,2020-07-02,Illinois,
14539,395,368.0,338511.0,Jul_2_2020,14539.0,427,3.03,40,1.54,2592,21.7,7847,117.26,20,5.33,56,16.52,0.37,0.01,states,371.07,10.08,2020-07-02,Oklahoma,
182260,2562,7382.0,1799826.0,Jul_2_2020,175977.0,7434,4.25,48,1.75,45477,33.25,114294,168.16,241,10.38,830,47.92,0.65,0.01,states,653.61,9.19,2020-07-02,Texas,
15226,282,,168183.0,Jul_2_2020,14990.0,84,0.55,20,0.71,2019,15.29,5083,50.11,19,7.22,55,24.23,0.52,0.01,states,523.45,9.69,2020-07-02,Kansas,
6688,93,69.0,88751.0,Jul_2_2020,6370.0,309,4.84,16,1.09,1819,37.36,3753,127.87,2,2.2,10,12.05,0.4,0.01,states,396.25,5.51,2020-07-02,Idaho,
929,18,,79364.0,Jul_2_2020,926.0,20,2.2,15,0.0,93,11.12,286,44.48,1,5.88,1,5.88,0.07,0.0,states,65.33,1.27,2020-07-02,Hawaii,
54166,2903,724.0,739140.0,Jul_2_2020,54166.0,1301,2.46,39,0.94,6515,13.67,17816,49.01,131,4.73,645,28.57,0.47,0.02,states,465.27,24.94,2020-07-02,Ohio,
3666,89,19.0,104538.0,Jul_2_2020,3657.0,42,1.16,38,0.0,264,7.76,1017,38.39,2,2.3,21,30.88,0.49,0.01,states,487.37,11.83,2020-07-02,North Dakota,
16370,605,430.0,369715.0,Jul_2_2020,16079.0,256,1.59,21,1.34,1577,10.66,6083,59.13,36,6.33,154,34.15,0.37,0.01,states,368.68,13.63,2020-07-02,Kentucky,
68512,1402,912.0,902978.0,Jul_2_2020,68142.0,1697,2.54,37,0.94,10972,19.07,38460,127.98,97,7.43,452,47.58,0.67,0.01,states,674.62,13.81,2020-07-02,North Carolina,
23466,176,229.0,323116.0,Jul_2_2020,23270.0,602,2.63,49,1.73,3922,20.07,13229,129.23,12,7.32,63,55.75,0.77,0.01,states,770.55,5.78,2020-07-02,Utah,
82475,2801,1649.0,795530.0,Jul_2_2020,87709.0,2886,3.63,13,0.79,14679,21.65,36412,79.05,97,3.59,731,35.31,0.8,0.03,states,800.92,27.2,2020-07-02,Georgia,
61669,3255,840.0,705813.0,Jul_2_2020,61561.0,1383,2.29,22,0.53,8141,15.21,20812,50.94,91,2.88,420,14.81,1.32,0.07,states,1322.34,69.8,2020-07-02,Louisiana,
1227,56,21.0,66114.0,Jul_2_2020,1227.0,17,1.4,50,0.0,36,3.02,239,24.19,0,0.0,1,1.82,0.2,0.01,states,196.33,8.96,2020-07-02,Vermont,
399642,31814,878.0,3646639.0,Jul_2_2020,394954.0,872,0.22,36,0.07,4474,1.13,21761,5.76,785,2.53,1967,6.59,2.04,0.16,states,2037.07,162.16,2020-07-02,New York,
12520,503,127.0,337784.0,Jul_2_2020,12276.0,244,1.99,35,0.6,1328,11.87,4496,56.03,18,3.71,136,37.06,0.6,0.02,states,598.35,24.04,2020-07-02,New Mexico,
1224,12,18.0,114892.0,Jul_2_2020,1017.0,50,4.26,02,0.0,253,26.06,727,146.28,2,20.0,4,50.0,0.17,0.0,states,165.74,1.62,2020-07-02,Alaska,
16941,959,67.0,140048.0,Jul_2_2020,17035.0,88,0.52,44,0.31,301,1.81,1829,12.1,39,4.24,227,31.01,1.6,0.09,states,1603.33,90.76,2020-07-02,Rhode Island,
98,6,,2924.0,Jul_2_2020,92.0,6,6.52,78,0.0,17,20.99,28,40.0,0,0.0,0,0.0,,,states,,,2020-07-02,Virgin Islands,
40111,985,843.0,379617.0,Jul_2_2020,40111.0,1149,2.95,01,1.34,6905,20.79,21340,113.69,89,9.93,332,50.84,0.82,0.02,states,824.54,20.25,2020-07-02,Alabama,
6544,415,22.0,150884.0,Jul_30_2020,6513.0,31,0.48,33,0.97,226,3.58,762,13.18,10,2.47,44,11.86,0.49,0.03,states,487.04,30.89,2020-07-30,New Hampshire,
47034,805,1145.0,416821.0,Jul_30_2020,46824.0,1097,2.39,32,2.94,6946,17.33,28452,153.12,96,13.54,298,58.78,1.61,0.03,states,1609.18,27.54,2020-07-30,Nevada,
12057,584,87.0,170933.0,Jul_30_2020,12057.0,58,0.48,11,0.0,486,4.2,1730,16.75,3,0.52,33,5.99,1.76,0.09,states,1761.44,85.32,2020-07-30,District of Columbia,
87740,3488,585.0,806788.0,Jul_30_2020,87177.0,894,1.03,24,0.29,6344,7.79,19588,28.74,79,2.32,298,9.34,1.46,0.06,states,1461.5,58.1,2020-07-30,Maryland,
14689,581,69.0,164174.0,Jul_30_2020,14689.0,87,0.6,10,0.0,765,5.49,3215,28.02,52,9.83,72,14.15,1.55,0.06,states,1547.03,61.19,2020-07-30,Delaware,
49670,4431,66.0,729058.0,Jul_30_2020,49670.0,130,0.26,09,0.14,1438,2.98,3156,6.79,21,0.48,109,2.52,1.39,0.12,states,1386.85,123.72,2020-07-30,Connecticut,
58100,1653,399.0,903322.0,Jul_30_2020,54985.0,800,1.4,53,0.61,5845,11.19,23559,68.21,105,6.78,320,24.01,0.8,0.02,states,796.51,22.66,2020-07-30,Washington,
117098,8595,367.0,1052054.0,Jul_30_2020,117098.0,414,0.35,25,0.17,2451,2.14,8216,7.55,111,1.31,541,6.72,1.71,0.13,states,1714.42,125.84,2020-07-30,Massachusetts,
25766,333,137.0,241471.0,Jul_30_2020,25422.0,318,1.25,31,0.6,1948,8.18,6572,34.24,15,4.72,54,19.35,1.35,0.02,states,1352.72,17.48,2020-07-30,Nebraska,
46338,1826,341.0,473876.0,Jul_30_2020,45796.0,453,0.99,08,0.0,3929,9.26,13640,41.72,38,2.13,136,8.05,0.84,0.03,states,837.77,33.01,2020-07-30,Colorado,
3888,122,11.0,160919.0,Jul_30_2020,3888.0,22,0.57,23,0.83,151,4.04,635,19.52,4,3.39,17,16.19,0.29,0.01,states,291.71,9.15,2020-07-30,Maine,
6422,115,102.0,271059.0,Jul_30_2020,6422.0,96,1.52,54,2.68,872,15.71,3518,121.14,12,11.65,22,23.66,0.35,0.01,states,351.11,6.29,2020-07-30,West Virginia,
3829,55,69.0,164802.0,Jul_30_2020,3814.0,134,3.63,30,1.85,905,30.95,2862,295.97,12,27.91,33,150.0,0.37,0.01,states,367.56,5.28,2020-07-30,Montana,
494269,9009,8198.0,7148338.0,Jul_30_2020,485502.0,8230,1.69,06,1.41,61094,14.1,262116,112.91,819,10.0,2926,48.1,1.26,0.02,states,1262.54,23.01,2020-07-30,California,
56111,928,295.0,867602.0,Jul_30_2020,56079.0,992,1.8,55,0.87,6360,12.78,24388,76.88,41,4.62,135,17.02,0.97,0.02,states,971.05,16.06,2020-07-30,Wisconsin,
53732,1634,298.0,954190.0,Jul_30_2020,53692.0,745,1.41,27,0.31,4971,10.19,17394,47.87,33,2.06,158,10.7,0.97,0.03,states,972.11,29.56,2020-07-30,Minnesota,
2686,26,18.0,49955.0,Jul_30_2020,2686.0,58,2.21,56,0.0,339,14.44,1199,80.63,1,4.0,6,30.0,0.46,0.0,states,461.64,4.47,2020-07-30,Wyoming,
41759,442,508.0,460958.0,Jul_30_2020,41759.0,791,1.93,05,1.84,5500,15.17,20982,100.99,56,14.51,172,63.7,1.4,0.01,states,1396.31,14.78,2020-07-30,Arkansas,
170905,3628,2348.0,742468.0,Jul_30_2020,170798.0,2544,1.51,04,4.55,17876,11.68,91506,115.25,561,18.29,1983,120.55,2.46,0.05,states,2460.24,52.23,2020-07-30,Arizona,
1323,6,2.0,21188.0,Jul_30_2020,354.0,3,0.23,66,0.0,22,1.69,95,7.74,0,0.0,0,0.0,,,states,,,2020-07-30,Guam,
42,2,,11719.0,Jul_30_2020,42.0,2,5.0,69,0.0,4,10.53,12,40.0,0,0.0,0,0.0,,,states,,,2020-07-30,Northern Mariana Islands,
16572,214,504.0,305972.0,Jul_30_2020,16572.0,511,3.18,72,1.42,3099,23.0,9107,122.0,26,13.83,61,39.87,0.49,0.01,states,489.29,6.32,2020-07-30,Puerto Rico,
89926,6446,727.0,1723397.0,Jul_30_2020,89781.0,900,1.01,26,0.31,5341,6.31,19076,26.92,49,0.77,249,4.02,0.9,0.06,states,903.1,64.74,2020-07-30,Michigan,
461371,6585,8395.0,3117738.0,Jul_30_2020,461379.0,9956,2.21,12,4.0,71511,18.34,308945,202.69,1068,19.36,3081,87.93,2.24,0.03,states,2239.87,31.97,2020-07-30,Florida,
182845,15809,759.0,1878594.0,Jul_30_2020,180970.0,370,0.2,34,0.07,3038,1.69,9324,5.37,79,0.5,774,5.15,2.06,0.18,states,2058.64,177.99,2020-07-30,New Jersey,
20388,635,158.0,524475.0,Jul_30_2020,20136.0,252,1.25,35,0.47,2225,12.25,8241,67.84,39,6.54,138,27.77,0.97,0.03,states,974.37,30.35,2020-07-30,New Mexico,
87572,1667,1563.0,603819.0,Jul_30_2020,87572.0,1726,2.01,45,3.22,10966,14.31,51173,140.59,333,24.96,928,125.58,1.77,0.03,states,1767.02,33.64,2020-07-30,South Carolina,
66883,2946,831.0,670595.0,Jul_30_2020,65253.0,965,1.46,18,0.48,5804,9.5,20143,43.1,66,2.29,306,11.59,1.01,0.04,states,1007.66,44.38,2020-07-30,Indiana,
8685,129,44.0,101660.0,Jul_30_2020,8685.0,44,0.51,46,0.0,542,6.66,1921,28.4,8,6.61,38,41.76,1.0,0.01,states,1004.87,14.93,2020-07-30,South Dakota,
115853,7248,756.0,1088859.0,Jul_30_2020,111078.0,869,0.76,42,0.4,6700,6.14,24627,27.0,106,1.48,553,8.26,0.91,0.06,states,905.73,56.66,2020-07-30,Pennsylvania,
44285,865,237.0,425060.0,Jul_30_2020,44038.0,662,1.52,19,1.29,3489,8.55,15133,51.91,45,5.49,148,20.64,1.41,0.03,states,1413.73,27.61,2020-07-30,Iowa,
18166,318,229.0,380508.0,Jul_30_2020,18131.0,361,2.03,41,1.6,2401,15.23,9471,108.92,41,14.8,108,51.43,0.45,0.01,states,445.03,7.79,2020-07-30,Oregon,
100166,1022,1493.0,1377941.0,Jul_30_2020,102871.0,2021,2.06,47,1.39,15514,18.33,57351,133.95,109,11.94,425,71.19,1.51,0.02,states,1506.01,15.37,2020-07-30,Tennessee,
178832,7677,1452.0,2472890.0,Jul_30_2020,178138.0,1865,1.05,17,0.21,10066,5.96,34171,23.62,114,1.51,541,7.58,1.39,0.06,states,1394.78,59.88,2020-07-30,Illinois,
35710,536,647.0,579276.0,Jul_30_2020,35740.0,1105,3.19,40,2.49,7741,27.68,21953,159.58,59,12.37,149,38.5,0.91,0.01,states,911.4,13.68,2020-07-30,Oklahoma,
27244,357,393.0,258079.0,Jul_30_2020,26870.0,67,0.25,20,2.29,2726,11.12,12615,86.23,31,9.51,81,29.35,0.94,0.01,states,936.61,12.27,2020-07-30,Kansas,
432134,6987,9296.0,3197367.0,Jul_30_2020,412107.0,10243,2.43,48,2.24,56030,14.9,265431,159.22,2273,48.22,4505,181.51,1.55,0.03,states,1549.69,25.06,2020-07-30,Texas,
20378,180,236.0,155840.0,Jul_30_2020,19679.0,568,2.87,16,2.27,3516,20.85,14254,232.76,38,26.76,88,95.65,1.21,0.01,states,1207.36,10.66,2020-07-30,Idaho,
1966,25,61.0,117347.0,Jul_30_2020,1865.0,124,6.73,15,0.0,498,33.92,1065,118.2,0,0.0,7,38.89,0.14,0.0,states,138.25,1.76,2020-07-30,Hawaii,
89626,3442,1049.0,1356846.0,Jul_30_2020,89626.0,1733,1.97,39,0.58,9440,11.77,37837,73.06,186,5.71,579,20.22,0.77,0.03,states,769.86,29.57,2020-07-30,Ohio,
30132,748,587.0,549920.0,Jul_30_2020,29386.0,653,2.22,21,0.27,4304,16.66,14216,89.32,42,5.95,160,27.21,0.68,0.02,states,678.62,16.85,2020-07-30,Kentucky,
6305,107,43.0,145560.0,Jul_30_2020,6301.0,74,1.19,38,0.94,808,14.7,2720,75.87,6,5.94,19,21.59,0.84,0.01,states,838.21,14.22,2020-07-30,North Dakota,
120391,1929,1239.0,1604730.0,Jul_30_2020,120194.0,2364,2.0,37,2.12,13341,12.46,55327,85.03,175,9.98,567,41.63,1.19,0.02,states,1185.46,18.99,2020-07-30,North Carolina,
39714,303,238.0,484671.0,Jul_30_2020,39696.0,375,0.95,49,2.02,3536,9.77,17350,77.58,32,11.81,131,76.16,1.3,0.01,states,1304.09,9.95,2020-07-30,Utah,
114595,3925,1524.0,1202909.0,Jul_30_2020,114481.0,1708,1.51,22,1.08,12833,12.61,56392,96.89,239,6.48,704,21.86,2.46,0.08,states,2457.21,84.16,2020-07-30,Louisiana,
167545,3596,3200.0,1359103.0,Jul_30_2020,182286.0,3998,2.44,13,0.84,23688,16.47,90265,116.8,308,9.37,838,30.38,1.63,0.03,states,1627.05,34.92,2020-07-30,Georgia,
419081,32362,586.0,5405998.0,Jul_30_2020,414370.0,779,0.19,36,0.06,4676,1.13,20939,5.26,92,0.29,586,1.84,2.14,0.16,states,2136.16,164.96,2020-07-30,New York,
1407,57,18.0,91877.0,Jul_30_2020,1407.0,1,0.07,50,1.79,30,2.18,199,16.47,1,1.79,1,1.79,0.23,0.01,states,225.13,9.12,2020-07-30,Vermont,
88745,2138,1357.0,1006069.0,Jul_30_2020,88904.0,908,1.03,51,0.75,7655,9.44,26036,41.52,85,4.14,376,21.34,1.05,0.03,states,1054.76,25.41,2020-07-30,Virginia,
49671,1288,813.0,626299.0,Jul_30_2020,48834.0,1988,4.17,29,1.5,9748,24.42,27396,122.99,76,6.27,251,24.2,0.82,0.02,states,815.61,21.15,2020-07-30,Missouri,
3557,21,45.0,221498.0,Jul_30_2020,3559.0,117,3.4,02,5.0,875,32.62,2425,214.22,4,23.53,9,75.0,0.48,0.0,states,481.64,2.84,2020-07-30,Alaska,
18950,1007,77.0,185569.0,Jul_30_2020,18950.0,150,0.8,44,0.0,802,4.42,2137,12.71,6,0.6,57,6.0,1.79,0.1,states,1793.47,95.3,2020-07-30,Rhode Island,
385,8,,8419.0,Jul_30_2020,385.0,0,0.0,78,0.0,43,12.57,295,327.78,1,14.29,2,33.33,,,states,,,2020-07-30,Virgin Islands,
85762,1565,1595.0,594346.0,Jul_30_2020,85762.0,1980,2.36,01,1.76,11550,15.56,47717,125.42,168,12.03,615,64.74,1.76,0.03,states,1762.95,32.17,2020-07-30,Alabama,
57579,1611,1245.0,392302.0,Jul_30_2020,57579.0,1775,3.18,28,3.07,9526,19.82,30331,111.31,175,12.19,538,50.14,1.93,0.05,states,1926.52,53.9,2020-07-30,Mississippi,
6583,415,21.0,151765.0,Jul_31_2020,6544.0,39,0.6,33,0.0,208,3.26,781,13.46,8,1.97,42,11.26,0.49,0.03,states,489.94,30.89,2020-07-31,New Hampshire,
48142,831,1159.0,421815.0,Jul_31_2020,48088.0,1108,2.36,32,3.23,7129,17.38,28991,151.38,109,15.1,319,62.3,1.65,0.03,states,1647.09,28.43,2020-07-31,Nevada,
12126,585,86.0,176615.0,Jul_31_2020,12126.0,69,0.57,11,0.17,477,4.09,1761,16.99,4,0.69,32,5.79,1.77,0.09,states,1771.52,85.46,2020-07-31,District of Columbia,
88907,3493,590.0,822845.0,Jul_31_2020,88346.0,1167,1.33,24,0.14,6581,7.99,20405,29.79,71,2.07,288,8.99,1.48,0.06,states,1480.94,58.18,2020-07-31,Maryland,
14788,585,46.0,166259.0,Jul_31_2020,14788.0,99,0.67,10,0.69,586,4.13,3278,28.48,7,1.21,76,14.93,1.56,0.06,states,1557.46,61.61,2020-07-31,Delaware,
49810,4432,69.0,744186.0,Jul_31_2020,49810.0,140,0.28,09,0.02,1034,2.12,3238,6.95,19,0.43,108,2.5,1.39,0.12,states,1390.76,123.75,2020-07-31,Connecticut,
58726,1654,415.0,917851.0,Jul_31_2020,55803.0,626,1.08,53,0.06,5447,10.22,23468,66.56,63,3.96,314,23.43,0.81,0.02,states,805.09,22.68,2020-07-31,Washington,
117612,8609,347.0,1070818.0,Jul_31_2020,117612.0,514,0.44,25,0.16,2627,2.28,8469,7.76,111,1.31,528,6.53,1.72,0.13,states,1721.94,126.04,2020-07-31,Massachusetts,
26211,338,150.0,245190.0,Jul_31_2020,25766.0,445,1.73,31,1.5,2037,8.43,6886,35.63,16,4.97,56,19.86,1.38,0.02,states,1376.08,17.75,2020-07-31,Nebraska,
46948,1841,350.0,480142.0,Jul_31_2020,46204.0,610,1.32,08,0.82,3850,8.93,13936,42.21,50,2.79,144,8.49,0.85,0.03,states,848.79,33.28,2020-07-31,Colorado,
3912,123,12.0,163255.0,Jul_31_2020,3912.0,24,0.62,23,0.82,155,4.13,618,18.76,5,4.24,18,17.14,0.29,0.01,states,293.51,9.23,2020-07-31,Maine,
6642,116,108.0,277346.0,Jul_31_2020,6642.0,220,3.43,54,0.87,947,16.63,3663,122.96,13,12.62,23,24.73,0.36,0.01,states,363.14,6.34,2020-07-31,West Virginia,
3977,60,71.0,166005.0,Jul_31_2020,3965.0,148,3.87,30,9.09,864,27.75,2961,291.44,14,30.43,38,172.73,0.38,0.01,states,381.77,5.76,2020-07-31,Montana,
502273,9222,7999.0,7317453.0,Jul_31_2020,493588.0,8004,1.62,06,2.36,59177,13.36,262509,109.49,897,10.77,3054,49.51,1.28,0.02,states,1282.99,23.56,2020-07-31,California,
57020,943,255.0,882149.0,Jul_31_2020,56934.0,909,1.62,55,1.62,6125,12.03,24713,76.49,56,6.31,149,18.77,0.99,0.02,states,986.78,16.32,2020-07-31,Wisconsin,
54503,1640,312.0,779891.0,Jul_31_2020,54463.0,771,1.43,27,0.37,4975,10.04,17750,48.3,34,2.12,158,10.66,0.99,0.03,states,986.06,29.67,2020-07-31,Minnesota,
2726,26,18.0,50573.0,Jul_31_2020,2726.0,40,1.49,56,0.0,321,13.35,1212,80.05,1,4.0,6,30.0,0.47,0.0,states,468.52,4.47,2020-07-31,Wyoming,
42511,453,507.0,460958.0,Jul_31_2020,42511.0,752,1.8,05,2.49,5262,14.13,21314,100.55,59,14.97,176,63.54,1.42,0.02,states,1421.45,15.15,2020-07-31,Arkansas,
174108,3695,2302.0,759733.0,Jul_31_2020,174010.0,3203,1.87,04,1.85,17716,11.33,89956,106.9,539,17.08,1969,114.08,2.51,0.05,states,2506.35,53.19,2020-07-31,Arizona,
1325,6,2.0,21526.0,Jul_31_2020,356.0,2,0.15,66,0.0,19,1.45,85,6.85,0,0.0,0,0.0,,,states,,,2020-07-31,Guam,
42,2,,11719.0,Jul_31_2020,42.0,0,0.0,69,0.0,4,10.53,12,40.0,0,0.0,0,0.0,,,states,,,2020-07-31,Northern Mariana Islands,
16781,219,488.0,305972.0,Jul_31_2020,16781.0,209,1.26,72,2.34,2814,20.15,9244,122.65,28,14.66,66,43.14,0.5,0.01,states,495.46,6.47,2020-07-31,Puerto Rico,
90752,6453,727.0,1753873.0,Jul_31_2020,90574.0,826,0.92,26,0.11,5514,6.47,19473,27.32,51,0.8,251,4.05,0.91,0.06,states,911.39,64.81,2020-07-31,Michigan,
470378,6842,8209.0,3157702.0,Jul_31_2020,470386.0,9007,1.95,12,3.9,68074,16.92,311389,195.86,1190,21.05,3293,92.79,2.28,0.03,states,2283.59,33.22,2020-07-31,Florida,
183535,15819,695.0,1914669.0,Jul_31_2020,181660.0,690,0.38,34,0.06,3270,1.81,9753,5.61,54,0.34,741,4.91,2.07,0.18,states,2066.41,178.1,2020-07-31,New Jersey,
20600,642,156.0,531249.0,Jul_31_2020,20388.0,212,1.04,35,1.1,2125,11.5,8324,67.81,41,6.82,142,28.4,0.98,0.03,states,984.5,30.68,2020-07-31,New Mexico,
