A,B,C,D,Date,E,F,G,GeoID,H,I,J,K,L,M,N,O,P,R,S,SUMLEV,T,U,date,state,county
58151,2183,7618.0,62042.0,Apr_11_2020,58151.0,3563,6.53,34,12.99,24027,70.41,58122,200420.69,1336,157.73,2182,218200.0,0.65,0.02,states,654.72,24.58,2020-04-11,New Jersey,
4024,116,506.0,39148.0,Apr_11_2020,4024.0,225,5.92,29,10.48,1733,75.64,4022,201100.0,72,163.64,116,,0.07,0.0,states,66.07,1.9,2020-04-11,Missouri,
484,8,,17066.0,Apr_11_2020,465.0,21,4.54,15,0.0,135,38.68,482,24100.0,5,166.67,8,,0.03,0.0,states,34.04,0.56,2020-04-11,Hawaii,
13208,265,1514.0,107972.0,Apr_11_2020,12561.0,917,7.46,48,6.43,6642,101.16,13167,32114.63,141,113.71,265,,0.05,0.0,states,47.37,0.95,2020-04-11,Texas,
11510,494,1593.0,28321.0,Apr_11_2020,11510.0,972,9.22,09,10.27,6234,118.16,11504,191733.33,329,199.39,494,,0.32,0.01,states,321.37,13.79,2020-04-11,Connecticut,
593,6,85.0,14875.0,Apr_11_2020,577.0,56,10.43,54,20.0,311,110.28,0,,4,200.0,0,,0.03,0.0,states,32.42,0.33,2020-04-11,West Virginia,
1479,33,190.0,9624.0,Apr_11_2020,1479.0,153,11.54,10,3.12,886,149.41,1475,36875.0,19,135.71,33,,0.16,0.0,states,155.77,3.48,2020-04-11,Delaware,
626,6,,7378.0,Apr_11_2020,626.0,90,16.79,46,0.0,414,195.28,618,7725.0,4,200.0,5,500.0,0.07,0.0,states,72.43,0.69,2020-04-11,South Dakota,
1282,55,,11075.0,Apr_11_2020,1268.0,102,8.64,20,10.0,580,82.62,1277,25540.0,34,161.9,54,5400.0,0.04,0.0,states,44.07,1.89,2020-04-11,Kansas,
1438,27,61.0,12368.0,Apr_11_2020,1396.0,13,0.91,16,8.0,362,33.64,0,,17,170.0,0,,0.09,0.0,states,85.2,1.6,2020-04-11,Idaho,
22421,632,5236.0,152604.0,Apr_11_2020,20615.0,1055,4.94,06,6.4,8625,62.52,22169,8797.22,309,95.67,628,15700.0,0.06,0.0,states,57.27,1.61,2020-04-11,California,
7494,389,,31780.0,Apr_11_2020,7435.0,534,7.67,18,10.2,3519,88.53,7482,62350.0,253,186.03,389,,0.11,0.01,states,112.91,5.86,2020-04-11,Indiana,
6893,274,841.0,26143.0,Apr_11_2020,6510.0,383,5.88,08,8.3,2319,50.7,6844,13967.35,148,117.46,273,27300.0,0.12,0.0,states,124.62,4.95,2020-04-11,Colorado,
182990,11159,18654.0,260522.0,Apr_11_2020,180458.0,10160,5.88,36,9.81,67027,57.8,182664,56031.9,6624,146.06,11159,,0.93,0.06,states,932.74,56.88,2020-04-11,New York,
788,42,,5583.0,Apr_11_2020,788.0,63,8.69,72,7.69,336,74.34,0,,24,133.33,0,,0.02,0.0,states,23.27,1.24,2020-04-11,Puerto Rico,
11,2,,27.0,Apr_11_2020,11.0,0,0.0,69,0.0,3,37.5,0,,1,100.0,0,,,,states,,,2020-04-11,Northern Mariana Islands,
343,0,,5198.0,Apr_11_2020,261.0,23,7.19,56,0.0,154,81.48,342,34200.0,0,,0,,0.06,0.0,states,58.95,0.0,2020-04-11,Wyoming,
1447,51,140.0,25853.0,Apr_11_2020,1371.0,76,5.54,41,6.25,447,44.7,1417,4723.33,25,96.15,51,,0.04,0.0,states,35.45,1.25,2020-04-11,Oregon,
1427,64,145.0,36898.0,Apr_11_2020,1806.0,92,6.89,27,12.28,562,64.97,1418,15755.56,40,166.67,64,,0.03,0.0,states,25.82,1.16,2020-04-11,Minnesota,
681,5,14.0,693.0,Apr_11_2020,133.0,104,18.02,66,25.0,458,205.38,0,,1,25.0,0,,,,states,,,2020-04-11,Guam,
51,1,3.0,299.0,Apr_11_2020,51.0,0,0.0,78,0.0,9,21.43,0,,1,,0,,,,states,,,2020-04-11,Virgin Islands,
1851,94,271.0,22595.0,Apr_11_2020,1693.0,149,8.75,21,4.44,942,103.63,1840,16727.27,54,135.0,94,,0.04,0.0,states,41.69,2.12,2020-04-11,Kentucky,
1174,20,75.0,26007.0,Apr_11_2020,1091.0,84,7.71,35,5.26,630,115.81,1168,19466.67,9,81.82,20,,0.06,0.0,states,56.11,0.96,2020-04-11,New Mexico,
